"x","y","topics","Freq","cluster"
"0.04750659","-0.02560155","187","0.1961239","1"
"0.09040934","-0.0267119","188","0.1957798","1"
"-0.04490898","-0.1030779","189","0.1957685","1"
"0.1474731","-0.05062267","190","0.194552","1"
"0.001538744","-0.08865032","191","0.1944527","1"
"-0.01230453","0.08232621","192","0.1943804","1"
"0.04659257","0.0416741","193","0.1936368","1"
"0.1254431","-0.07057085","194","0.1933551","1"
"-0.07187209","-0.09125652","195","0.1933542","1"
"-0.09948233","-0.02548901","196","0.1929732","1"
"0.07752987","-0.008538818","197","0.1920594","1"
"0.0150582","0.02702699","198","0.1901886","1"
"0.06180755","-0.03430679","199","0.1900949","1"
"-0.02013932","-0.07738374","200","0.1900424","1"
"-0.0184953","0.07875772","201","0.1899318","1"
"0.1832534","-0.04377461","202","0.1897021","1"
"0.06053153","-0.08765884","203","0.1896573","1"
"-0.02835509","0.004129654","204","0.1888882","1"
"0.05983806","-0.01191241","205","0.1887239","1"
"-0.06742825","-0.04563469","206","0.1884284","1"
"-0.04427636","-0.02826832","207","0.1883558","1"
"0.04722676","0.03688471","208","0.1880535","1"
"-0.03041687","0.07723532","209","0.1880125","1"
"-0.04560605","0.1854","210","0.1867154","1"
"0.07686131","-0.06445617","211","0.1867055","1"
"-0.09967744","0.04817639","212","0.1856064","1"
"0.03309129","0.002252564","213","0.184651","1"
"0.03193109","-0.08015343","214","0.184622","1"
